file name,true label,folder
3D Surveying of Underground Built Heritage Opportunities and Challenges of Mobile Technologies.txt,3,indoorPositionInCultureHeritage
3D reconstruction of spherical images a review of techniques applications and prospects.txt,3,indoorPositionInCultureHeritage
A REVIEW OF RECENT RESEARCH IN INDOOR MODELLING & MAPPING.txt,3,indoorPositionInCultureHeritage
A State-of-the-Art Review on the Integration of Building Information Modeling (BIM) and Geographic Information System (GIS).txt,3,indoorPositionInCultureHeritage
A Survey of Museum Applied Research Based on MobileAugmented Reality.txt,3,indoorPositionInCultureHeritage
A Survey on Developing Personalized Content Services in Museums.txt,3,indoorPositionInCultureHeritage
A framework study on the use of immersive XR technologies in the.txt,3,indoorPositionInCultureHeritage
A scoping review on the use processing and fusion of geographic data in virtual.txt,3,indoorPositionInCultureHeritage
A systematic review of digital transformation technologies in museum exhibition.txt,3,indoorPositionInCultureHeritage
AR in the Architecture Domain State of the Art.txt,3,indoorPositionInCultureHeritage
A_Survey_of_Applications_With_Combined_BIM_and_3D_Laser_Scanning_in_the_Life_Cycle_of_Buildings.txt,3,indoorPositionInCultureHeritage
Accessible wayfnding and navigation a systematic mapping study.txt,3,indoorPositionInCultureHeritage
Advancement in the Application of Geospatial Technology in Archaeology and Cultural Heritage in South Africa.txt,3,indoorPositionInCultureHeritage
An Overview of Indoor Positioning and Mapping.txt,3,indoorPositionInCultureHeritage
An overview of location-based game authoring tools for.txt,3,indoorPositionInCultureHeritage
"Analysis of the Possibilities of Using HBIM Technology in the Protection of Cultural Heritage, Based on a Review of the Latest Research Carried out in Poland.txt",3,indoorPositionInCultureHeritage
Augmented Reality Used in Cultural Heritage.txt,3,indoorPositionInCultureHeritage
Challenges and Opportunities for the Use.txt,3,indoorPositionInCultureHeritage
CityGML Application Domain Extension.txt,3,indoorPositionInCultureHeritage
CityGML – Interoperable semantic 3D city models.txt,3,indoorPositionInCultureHeritage
Cultural Heritage Documentation Analysis and Management Using Building.txt,3,indoorPositionInCultureHeritage
Destiny A Campus Virtual Tour.txt,3,indoorPositionInCultureHeritage
Digital Twin and its implementations in the Civil Engineering Sector.txt,3,indoorPositionInCultureHeritage
Digital Twins and Enabling Technologies.txt,3,indoorPositionInCultureHeritage
FROM BIM TO DIGITAL TWINS A SYSTEMATIC REVIEW OF THE EVOLUTION OF INTELLIGENT BUILDING REPRESENTATIONS IN THE AEC-FM INDUSTRY.txt,3,indoorPositionInCultureHeritage
Impact of 3D Digitising Technologies and Their Implementation.txt,3,indoorPositionInCultureHeritage
Indoor 3D Overview on Scanning.txt,3,indoorPositionInCultureHeritage
Integrating Artificial Intelligence.txt,3,indoorPositionInCultureHeritage
Integration of Laser Scanning and Photogrammetry.txt,3,indoorPositionInCultureHeritage
Interactive Digital Narrative Authoring Tools and Hybrid.txt,3,indoorPositionInCultureHeritage
Investigating Approaches of Integrating BIM IoT and Facility Management for Renovating Existing Buildings A Review.txt,3,indoorPositionInCultureHeritage
Literature Review of Location Based Services.txt,3,indoorPositionInCultureHeritage
Mobile 3D scan LiDAR.txt,3,indoorPositionInCultureHeritage
Mobile AR Interaction Design Patterns for Storytelling.txt,3,indoorPositionInCultureHeritage
Mobile phone indoor scene features recognition localization method based on semantic constraint of building map location anchor.txt,3,indoorPositionInCultureHeritage
RESEARCH ON AUGMENTED REALITY DISPLAY TECHNOLOGY OF CULTURAL.txt,3,indoorPositionInCultureHeritage
Registration of Laser Scanning Point Clouds a Review.txt,3,indoorPositionInCultureHeritage
Research frameworks methodologies and assessment methods concerning the adaptive reuse of architectural heritage a review.txt,3,indoorPositionInCultureHeritage
Revolutionizing Depth Sensing A Review Study of Apple LiDAR Sensor.txt,3,indoorPositionInCultureHeritage
Semantic interpretation of architectural and archaeological geometries Point cloud.txt,3,indoorPositionInCultureHeritage
Serious Games in Cultural Heritage.txt,3,indoorPositionInCultureHeritage
Site Experience Enhancement and Perspective in Cultural.txt,3,indoorPositionInCultureHeritage
Smart Cities and Cultural Heritage.txt,3,indoorPositionInCultureHeritage
Smart Glasses for Cultural Heritage.txt,3,indoorPositionInCultureHeritage
Survey on Optical Wireless Communications-Based Services Applied to the Tourism Industry Potentials and Challenges.txt,3,indoorPositionInCultureHeritage
Terrestrial Laser Scanning in the Age of Sensing.txt,3,indoorPositionInCultureHeritage
Three-Dimensional Point Cloud Semantic Segmentation.txt,3,indoorPositionInCultureHeritage
User Experience and Engagement in Augmented Reality Systems for the Cultural Heritage Domain.txt,3,indoorPositionInCultureHeritage
Virtual Tourism and Digital Heritage An Analysis of VR-AR Technologies and Applications.txt,3,indoorPositionInCultureHeritage
